Raw (V),Gain (V),Gain + Filter (V)
0.00212,1.14,2.32
0.00208,1.2,2.36
0.00213,1.14,2.32
0.00201,1.14,2.46
0.00209,1.2,2.34
0.00198,1.12,2.36
0.00202,1.16,2.32
0.00208,1.14,2.4
0.00197,1.12,2.34
0.00205,1.12,2.36
0.0021,1.12,2.32
0.00202,1.2,2.4
0.00201,1.12,2.34
0.00216,1.14,2.32
0.00218,1.13,2.32
0.00202,1.16,2.4
0.00216,1.12,2.32
0.00207,1.12,2.32
0.002,1.14,2.4
0.00197,1.14,2.34
0.00207,1.14,2.36
0.00218,1.13,2.32
0.00204,1.16,2.4
0.00219,1.14,2.32
0.00208,1.12,2.36
